Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp001,Time_Exp/eval_phase/test_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp002,Time_Exp/eval_phase/test_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp003,Time_Exp/eval_phase/test_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp004,Time_Exp/eval_phase/test_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp005,Time_Exp/eval_phase/test_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp006,Time_Exp/eval_phase/test_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp007,Time_Exp/eval_phase/test_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp008,Time_Exp/eval_phase/test_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp009,Time_Exp/eval_phase/test_stream/Task000/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task000,Time_Stream/eval_phase/test_stream/Task000,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp001,Time_Exp/eval_phase/train_stream/Task000/Exp001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp002,Time_Exp/eval_phase/train_stream/Task000/Exp002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp003,Time_Exp/eval_phase/train_stream/Task000/Exp003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp004,Time_Exp/eval_phase/train_stream/Task000/Exp004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp005,Time_Exp/eval_phase/train_stream/Task000/Exp005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp006,Time_Exp/eval_phase/train_stream/Task000/Exp006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp007,Time_Exp/eval_phase/train_stream/Task000/Exp007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp008,Time_Exp/eval_phase/train_stream/Task000/Exp008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp009,Time_Exp/eval_phase/train_stream/Task000/Exp009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8baeb280>/train_phase/train_stream/Task000/Exp009
0.206,0.11427548388019204,0.0,0.11185140395537019,0.0,0.11101752100512385,0.0,0.11386066628620028,0.0,0.10986228194087744,0.0,0.11836914997547865,0.0,0.1215687720105052,0.0,0.10865418193861842,0.0,0.10982553102076054,0.0,0.10931285191327333,0.0206,1.143757927697152,0.213,0.5959905060008168,0.213,0.5969619918614626,0.25,0.0070082140155136585,0.2332,2.197576689068228,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.10854820907115936,0.179,0.10847800783813,0.0,0.10753268422558904,0.0,0.11016601603478193,0.0,0.11069329408928752,0.0,0.108213743660599,0.0,0.10834805620834231,0.0,0.10838322713971138,0.0,0.10797032993286848,0.0,0.10847392864525318,0.0179,1.099790128879249,0.213,0.5959905060008168,0.1864,0.5755875441245735,0.25,0.0073894113302230835,0.2832,2.390079534612596,0.0,2,0.1864,0.5744689349085093,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.10728913871571422,0.0,0.10762904398143291,0.314,0.10781466728076339,0.0,0.10666249878704548,0.0,0.10746433213353157,0.0,0.10635077394545078,0.0,0.10684666177257895,0.0,0.10779780801385641,0.0,0.1080544120632112,0.0,0.10773533582687378,0.0314,1.0861630560830235,0.213,0.5959905060008168,0.3364,0.5572170843370259,0.25,0.00585653493180871,0.2976,2.2324878736399114,0.0,3,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.11369131272658706,0.0,0.11351854121312499,0.0,0.11355389095842838,0.312,0.11714834114536643,0.0,0.11263195611536503,0.0,0.10871930094435811,0.0,0.10835353704169393,0.0,0.10819528391584754,0.0,0.1079496587626636,0.0,0.10807628091424704,0.0312,1.125409945845604,0.213,0.5959905060008168,0.3078,0.5624160566367209,0.125,0.005209244787693024,0.3188,2.067513581831008,0.0,4,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,,,,,,,,,,,,,,,,,,
0.0,0.10871215211227536,0.0,0.10968160768970847,0.0,0.10755105270072818,0.0,0.10971456812694669,0.375,0.10733823897317052,0.0,0.11063218303024769,0.0,0.10815045330673456,0.0,0.11446081614121795,0.0,0.1150570148602128,0.0,0.11209031706675887,0.0375,1.1159044192172587,0.213,0.5959905060008168,0.3944,0.7845646678470075,0.25,0.004880859982222319,0.322,1.801186100114137,0.0,5,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,0.3944,0.7837003841996193,0.0,,,,,,,,,,,,,,,
0.0,0.10764035396277905,0.0,0.1075932439416647,0.0,0.11162716010585427,0.0,0.11048019118607044,0.0,0.11192935379222035,0.394,0.11168666975572705,0.0,0.11133316438645124,0.0,0.10942058265209198,0.0,0.11046518106013536,0.0,0.11060067312791944,0.0394,1.116071951109916,0.213,0.5959905060008168,0.3772,0.5399058400653303,0.375,0.006130080204457045,0.3318,2.1638528490439057,0.0,6,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,0.3944,0.7837003841996193,0.0,0.3772,0.538971615023911,0.0,,,,,,,,,,,,
0.0,0.10893988562747836,0.0,0.108706661965698,0.0,0.1069292020983994,0.0,0.10827415529638529,0.0,0.10875732311978936,0.0,0.10851360904052854,0.331,0.10853010881692171,0.0,0.10817738296464086,0.0,0.10743610095232725,0.0,0.10798675008118153,0.0331,1.0947180921211839,0.213,0.5959905060008168,0.3374,0.548020102083683,0.5,0.00575242331251502,0.304,2.07710420479998,0.0,7,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,0.3944,0.7837003841996193,0.0,0.3772,0.538971615023911,0.0,0.3374,0.5471867979504168,0.0,,,,,,,,,
0.0,0.1079340293072164,0.0,0.10732909012585878,0.0,0.10747768171131611,0.0,0.10726121813058853,0.0,0.10800230130553246,0.0,0.10750570287927985,0.0,0.34595072781667113,0.355,0.10744292102754116,0.0,0.10817564278841019,0.0,0.11270427703857422,0.0355,1.332776581402868,0.213,0.5959905060008168,0.3676,0.5342725268565118,0.625,0.005478378850966692,0.3068,2.0962834847159684,0.0,8,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,0.3944,0.7837003841996193,0.0,0.3772,0.538971615023911,0.0,0.3374,0.5471867979504168,0.0,0.3676,0.5334363938309252,0.0,,,,,,
0.0,0.10847043665125966,0.0,0.10827403515577316,0.0,0.10749296192079782,0.0,0.10784692782908678,0.0,0.10822394397109747,0.0,0.10877889161929488,0.0,0.10901577584445477,0.0,0.10831261519342661,0.27,0.10787378810346127,0.0,0.10760796396061778,0.027,1.094212421681732,0.213,0.5959905060008168,0.3084,0.5386067968793213,0.25,0.005684242583811283,0.3068,2.0952387657016516,0.0,9,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,0.3944,0.7837003841996193,0.0,0.3772,0.538971615023911,0.0,0.3374,0.5471867979504168,0.0,0.3676,0.5334363938309252,0.0,0.3084,0.5377567331306636,0.0,,,
0.0,0.10852028802037239,0.0,0.11084990715608001,0.0,0.10793298855423927,0.0,0.10662120813503861,0.0,0.10880963318049908,0.0,0.10678960988298059,0.0,0.10754917282611132,0.0,0.10740785114467144,0.0,0.10721695702522993,0.254,0.10733044892549515,0.0254,1.0919224531389773,0.213,0.5959905060008168,0.2576,0.5475350632332265,0.5,0.0056070806458592415,0.2768,2.1811482938937843,0.0,10,0.1864,0.5744689349085093,0.0,0.3364,0.5560221038758755,0.0,0.3078,0.5615808637812734,0.0,0.3944,0.7837003841996193,0.0,0.3772,0.538971615023911,0.0,0.3374,0.5471867979504168,0.0,0.3676,0.5334363938309252,0.0,0.3084,0.5377567331306636,0.0,0.2576,0.5466793989762664,0.0
