Top1_Acc_Exp/eval_phase/test_stream/Task000/Exp000,Time_Exp/eval_phase/test_stream/Task000/Exp000,Top1_Acc_Exp/eval_phase/test_stream/Task001/Exp001,Time_Exp/eval_phase/test_stream/Task001/Exp001,Top1_Acc_Exp/eval_phase/test_stream/Task002/Exp002,Time_Exp/eval_phase/test_stream/Task002/Exp002,Top1_Acc_Exp/eval_phase/test_stream/Task003/Exp003,Time_Exp/eval_phase/test_stream/Task003/Exp003,Top1_Acc_Exp/eval_phase/test_stream/Task004/Exp004,Time_Exp/eval_phase/test_stream/Task004/Exp004,Top1_Acc_Exp/eval_phase/test_stream/Task005/Exp005,Time_Exp/eval_phase/test_stream/Task005/Exp005,Top1_Acc_Exp/eval_phase/test_stream/Task006/Exp006,Time_Exp/eval_phase/test_stream/Task006/Exp006,Top1_Acc_Exp/eval_phase/test_stream/Task007/Exp007,Time_Exp/eval_phase/test_stream/Task007/Exp007,Top1_Acc_Exp/eval_phase/test_stream/Task008/Exp008,Time_Exp/eval_phase/test_stream/Task008/Exp008,Top1_Acc_Exp/eval_phase/test_stream/Task009/Exp009,Time_Exp/eval_phase/test_stream/Task009/Exp009,Top1_Acc_Stream/eval_phase/test_stream/Task009,Time_Stream/eval_phase/test_stream/Task009,Top1_Acc_Exp/eval_phase/train_stream/Task000/Exp000,Time_Exp/eval_phase/train_stream/Task000/Exp000,Top1_Acc_Stream/eval_phase/train_stream/Task000,Time_Stream/eval_phase/train_stream/Task000,Top1_Acc_MB/train_phase/train_stream/Task000,Time_MB/train_phase/train_stream/Task000,Top1_Acc_Epoch/train_phase/train_stream/Task000,Time_Epoch/train_phase/train_stream/Task000,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task000/Exp000,experience,Top1_Acc_Exp/eval_phase/train_stream/Task001/Exp001,Time_Exp/eval_phase/train_stream/Task001/Exp001,Top1_Acc_Stream/eval_phase/train_stream/Task001,Time_Stream/eval_phase/train_stream/Task001,Top1_Acc_MB/train_phase/train_stream/Task001,Time_MB/train_phase/train_stream/Task001,Top1_Acc_Epoch/train_phase/train_stream/Task001,Time_Epoch/train_phase/train_stream/Task001,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task001/Exp001,Top1_Acc_Exp/eval_phase/train_stream/Task002/Exp002,Time_Exp/eval_phase/train_stream/Task002/Exp002,Top1_Acc_Stream/eval_phase/train_stream/Task002,Time_Stream/eval_phase/train_stream/Task002,Top1_Acc_MB/train_phase/train_stream/Task002,Time_MB/train_phase/train_stream/Task002,Top1_Acc_Epoch/train_phase/train_stream/Task002,Time_Epoch/train_phase/train_stream/Task002,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task002/Exp002,Top1_Acc_Exp/eval_phase/train_stream/Task003/Exp003,Time_Exp/eval_phase/train_stream/Task003/Exp003,Top1_Acc_Stream/eval_phase/train_stream/Task003,Time_Stream/eval_phase/train_stream/Task003,Top1_Acc_MB/train_phase/train_stream/Task003,Time_MB/train_phase/train_stream/Task003,Top1_Acc_Epoch/train_phase/train_stream/Task003,Time_Epoch/train_phase/train_stream/Task003,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task003/Exp003,Top1_Acc_Exp/eval_phase/train_stream/Task004/Exp004,Time_Exp/eval_phase/train_stream/Task004/Exp004,Top1_Acc_Stream/eval_phase/train_stream/Task004,Time_Stream/eval_phase/train_stream/Task004,Top1_Acc_MB/train_phase/train_stream/Task004,Time_MB/train_phase/train_stream/Task004,Top1_Acc_Epoch/train_phase/train_stream/Task004,Time_Epoch/train_phase/train_stream/Task004,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task004/Exp004,Top1_Acc_Exp/eval_phase/train_stream/Task005/Exp005,Time_Exp/eval_phase/train_stream/Task005/Exp005,Top1_Acc_Stream/eval_phase/train_stream/Task005,Time_Stream/eval_phase/train_stream/Task005,Top1_Acc_MB/train_phase/train_stream/Task005,Time_MB/train_phase/train_stream/Task005,Top1_Acc_Epoch/train_phase/train_stream/Task005,Time_Epoch/train_phase/train_stream/Task005,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task005/Exp005,Top1_Acc_Exp/eval_phase/train_stream/Task006/Exp006,Time_Exp/eval_phase/train_stream/Task006/Exp006,Top1_Acc_Stream/eval_phase/train_stream/Task006,Time_Stream/eval_phase/train_stream/Task006,Top1_Acc_MB/train_phase/train_stream/Task006,Time_MB/train_phase/train_stream/Task006,Top1_Acc_Epoch/train_phase/train_stream/Task006,Time_Epoch/train_phase/train_stream/Task006,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task006/Exp006,Top1_Acc_Exp/eval_phase/train_stream/Task007/Exp007,Time_Exp/eval_phase/train_stream/Task007/Exp007,Top1_Acc_Stream/eval_phase/train_stream/Task007,Time_Stream/eval_phase/train_stream/Task007,Top1_Acc_MB/train_phase/train_stream/Task007,Time_MB/train_phase/train_stream/Task007,Top1_Acc_Epoch/train_phase/train_stream/Task007,Time_Epoch/train_phase/train_stream/Task007,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task007/Exp007,Top1_Acc_Exp/eval_phase/train_stream/Task008/Exp008,Time_Exp/eval_phase/train_stream/Task008/Exp008,Top1_Acc_Stream/eval_phase/train_stream/Task008,Time_Stream/eval_phase/train_stream/Task008,Top1_Acc_MB/train_phase/train_stream/Task008,Time_MB/train_phase/train_stream/Task008,Top1_Acc_Epoch/train_phase/train_stream/Task008,Time_Epoch/train_phase/train_stream/Task008,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task008/Exp008,Top1_Acc_Exp/eval_phase/train_stream/Task009/Exp009,Time_Exp/eval_phase/train_stream/Task009/Exp009,Top1_Acc_Stream/eval_phase/train_stream/Task009,Time_Stream/eval_phase/train_stream/Task009,Top1_Acc_MB/train_phase/train_stream/Task009,Time_MB/train_phase/train_stream/Task009,Top1_Acc_Epoch/train_phase/train_stream/Task009,Time_Epoch/train_phase/train_stream/Task009,<eval.metrics.ProjectionOverheadMetric object at 0x7fdd8bb666e0>/train_phase/train_stream/Task009/Exp009
0.25,0.06501684198155999,0.25925925925925924,0.08699125191196799,0.16129032258064516,0.09825202589854598,0.2,0.06498621217906475,0.2830188679245283,0.16251641605049372,0.27586206896551724,0.09252507193014026,0.1,0.06495388085022569,0.25,0.06486216001212597,0.1,0.06488086003810167,0.2,0.11142086004838347,0.21818181818181817,0.9056189488619566,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.06496709119528532,0.25925925925925924,0.08612200804054737,0.16129032258064516,0.0991763910278678,0.2,0.0649922527372837,0.2830188679245283,0.16352350218221545,0.27586206896551724,0.09162557683885098,0.1,0.06494764192029834,0.25,0.06506155291572213,0.1,0.06487135076895356,0.2,0.11104686418548226,0.21818181818181817,0.9054743172600865,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,2,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.07687175692990422,0.25925925925925924,0.10176706407219172,0.16129032258064516,0.1156901209615171,0.2,0.07723423186689615,0.2830188679245283,0.19203155813738704,0.27586206896551724,0.10829186998307705,0.1,0.0771063701249659,0.25,0.07644734997302294,0.1,0.07652030000463128,0.2,0.1299345539882779,0.21818181818181817,1.0615975591354072,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,3,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.0766720431856811,0.25925925925925924,0.10178712289780378,0.16129032258064516,0.11617468809708953,0.2,0.07658545207232237,0.2830188679245283,0.1912704361602664,0.27586206896551724,0.10835263133049011,0.1,0.07673188392072916,0.25,0.0762007050216198,0.1,0.07646874012425542,0.2,0.13000284461304545,0.21818181818181817,1.059934920631349,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,4,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.07689748704433441,0.25925925925925924,0.10176107287406921,0.16129032258064516,0.11625362979248166,0.2,0.07620371505618095,0.2830188679245283,0.19200717704370618,0.27586206896551724,0.10814752709120512,0.1,0.07675328385084867,0.25,0.07681440515443683,0.1,0.07659803191199899,0.2,0.13032342912629247,0.21818181818181817,1.0614643851295114,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,5,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,0.19811320754716982,0.7268731277436018,0.19811320754716982,0.729250926990062,0.35,0.17613986926153302,0.19811320754716982,1.7733921599574387,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.07649874966591597,0.25925925925925924,0.10175606328994036,0.16129032258064516,0.11539394594728947,0.2,0.07678146427497268,0.2830188679245283,0.19077229825779796,0.27586206896551724,0.1082874103449285,0.1,0.0766271622851491,0.25,0.0759014799259603,0.1,0.07641399884596467,0.2,0.13000127393752337,0.21818181818181817,1.0582226221449673,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,6,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,0.19811320754716982,0.7268731277436018,0.19811320754716982,0.729250926990062,0.35,0.17613986926153302,0.19811320754716982,1.7733921599574387,0.0,0.25217391304347825,0.39988936437293887,0.25217391304347825,0.40226481296122074,0.15789473684210525,0.16873947717249393,0.25217391304347825,0.969816368073225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.0640617972239852,0.25925925925925924,0.08702837163582444,0.16129032258064516,0.0983235971070826,0.2,0.06504600308835506,0.2830188679245283,0.16348056215792894,0.27586206896551724,0.09249503118917346,0.1,0.06501563219353557,0.25,0.06488345004618168,0.1,0.06490437127649784,0.2,0.111475202254951,0.21818181818181817,0.9058088222518563,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,7,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,0.19811320754716982,0.7268731277436018,0.19811320754716982,0.729250926990062,0.35,0.17613986926153302,0.19811320754716982,1.7733921599574387,0.0,0.25217391304347825,0.39988936437293887,0.25217391304347825,0.40226481296122074,0.15789473684210525,0.16873947717249393,0.25217391304347825,0.969816368073225,0.0,0.225,0.2689130138605833,0.225,0.2714017848484218,0.125,0.14279740303754807,0.225,0.6765036545693874,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.06500723212957382,0.25925925925925924,0.08611219702288508,0.16129032258064516,0.09914974961429834,0.2,0.06506379321217537,0.2830188679245283,0.16349768126383424,0.27586206896551724,0.09161054715514183,0.1,0.06495384173467755,0.25,0.06487146997824311,0.1,0.06487597012892365,0.2,0.11129721906036139,0.21818181818181817,0.9057148499414325,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,8,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,0.19811320754716982,0.7268731277436018,0.19811320754716982,0.729250926990062,0.35,0.17613986926153302,0.19811320754716982,1.7733921599574387,0.0,0.25217391304347825,0.39988936437293887,0.25217391304347825,0.40226481296122074,0.15789473684210525,0.16873947717249393,0.25217391304347825,0.969816368073225,0.0,0.225,0.2689130138605833,0.225,0.2714017848484218,0.125,0.14279740303754807,0.225,0.6765036545693874,0.0,0.2625,0.24451661575585604,0.2625,0.2468913746997714,0.125,0.1212066700682044,0.2625,0.5749541749246418,0.0,,,,,,,,,,,,,,,,,,
0.25,0.06517592491582036,0.25925925925925924,0.08613406680524349,0.16129032258064516,0.09910243889316916,0.2,0.06489438004791737,0.2830188679245283,0.16249516420066357,0.27586206896551724,0.09160928707569838,0.1,0.06493279105052352,0.25,0.06508715311065316,0.1,0.06502190185710788,0.2,0.11144955130293965,0.21818181818181817,0.9054580051451921,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,9,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,0.19811320754716982,0.7268731277436018,0.19811320754716982,0.729250926990062,0.35,0.17613986926153302,0.19811320754716982,1.7733921599574387,0.0,0.25217391304347825,0.39988936437293887,0.25217391304347825,0.40226481296122074,0.15789473684210525,0.16873947717249393,0.25217391304347825,0.969816368073225,0.0,0.225,0.2689130138605833,0.225,0.2714017848484218,0.125,0.14279740303754807,0.225,0.6765036545693874,0.0,0.2625,0.24451661575585604,0.2625,0.2468913746997714,0.125,0.1212066700682044,0.2625,0.5749541749246418,0.0,0.2375,0.24104625917971134,0.2375,0.2434470378793776,0.1875,0.12155129667371511,0.2375,0.5760844741016626,0.0,,,,,,,,,
0.25,0.06500264210626483,0.25925925925925924,0.0869210297241807,0.16129032258064516,0.09839130705222487,0.2,0.06405590707436204,0.2830188679245283,0.1633557891473174,0.27586206896551724,0.09248238103464246,0.1,0.06500940257683396,0.25,0.06494258111342788,0.1,0.06509671406820416,0.2,0.11142829013988376,0.21818181818181817,0.9063532203435898,0.2125,0.24259306490421295,0.2125,0.24500796431675553,0.3125,0.12107628909870982,0.25,0.5850185411982238,0.0,10,0.16666666666666666,0.3181237787939608,0.16666666666666666,0.32048638770356774,0.16666666666666666,0.09485792089253664,0.16666666666666666,0.774284983985126,0.0,0.18181818181818182,0.4229660420678556,0.18181818181818182,0.42535544093698263,0.12,0.2220007278956473,0.18181818181818182,1.0242493879050016,0.0,0.325,0.2852664617821574,0.325,0.2876519411802292,0.4375,0.1437924299389124,0.325,0.6776417829096317,0.0,0.19811320754716982,0.7268731277436018,0.19811320754716982,0.729250926990062,0.35,0.17613986926153302,0.19811320754716982,1.7733921599574387,0.0,0.25217391304347825,0.39988936437293887,0.25217391304347825,0.40226481296122074,0.15789473684210525,0.16873947717249393,0.25217391304347825,0.969816368073225,0.0,0.225,0.2689130138605833,0.225,0.2714017848484218,0.125,0.14279740303754807,0.225,0.6765036545693874,0.0,0.2625,0.24451661575585604,0.2625,0.2468913746997714,0.125,0.1212066700682044,0.2625,0.5749541749246418,0.0,0.2375,0.24104625917971134,0.2375,0.2434470378793776,0.1875,0.12155129667371511,0.2375,0.5760844741016626,0.0,0.21014492753623187,0.4100436298176646,0.21014492753623187,0.4124109693802893,0.2,0.07889322889968753,0.21014492753623187,0.985493372194469,0.0
